	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.8477999999999999), ('Other', 0.031599999999999996), ('Alpha', 0.0165), ('Beta', 0.0149), ('Gamma', 0.0138), ('Delta', 0.012499999999999999), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0123), ('Mu', 0.0071), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0068), ('XBB* (XBB.X)', 0.0059), ('BA.2.86* (BA.2.86X)', 0.0052), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.005), ('Theta', 0.0044), ('Kappa', 0.004), ('A', 0.003), ('Eta', 0.0024), ('EG.5* [Omicron (EG.5.X)]', 0.0022), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0018), ('Zeta', 0.0018), ('Lambda', 0.0011)]	BA.1 BA.2 BA.4 XE BA.3 B.1.1.7 B.1.351 BA.5 P.1 XD BA.2.75 B.1.617.2 AV.1 BA.4.6 B.1.621 XBB.1.5 XBB BA.2.86 CH.1.1 P.3 B.1.617.1 A.23.1 B.1.1.318 B.1.617.3 B.1.525 B.1.623 EG.5.1 XBB.1.16 P.2 AY.4.2 C.37 BQ.1 C.36.3 Other	0.5902 0.1363 0.0442 0.0305 0.0233 0.0165 0.0149 0.0145 0.0138 0.013 0.0123 0.0113 0.009 0.0081 0.0071 0.0068 0.0059 0.0052 0.005 0.0044 0.004 0.003 0.0027 0.0026 0.0024 0.0022 0.0022 0.0018 0.0018 0.0012 0.0011 0.0007 0.0004 0.0017		
Mixture02	[('Omicron', 0.7517), ('Other', 0.0761), ('Alpha', 0.0389), ('Delta', 0.027899999999999998), ('Beta', 0.0176), ('Mu', 0.0108), ('Gamma', 0.0103), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0094), ('BA.2.86* (BA.2.86X)', 0.0086), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0084), ('Kappa', 0.0067), ('Theta', 0.0061), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0054), ('A', 0.0045), ('EG.5* [Omicron (EG.5.X)]', 0.0043), ('XBB* (XBB.X)', 0.0038), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0033), ('Eta', 0.0029), ('Zeta', 0.0022), ('Lambda', 0.0009)]	BA.1 B.1.1.7 XD B.1.617.2 B.1.351 BA.2 BA.3 B.1.621 P.1 CH.1.1 BA.5 BA.2.86 BA.2.75 B.1.617.1 AV.1 P.3 XBB.1.5 BA.4.6 B.1.617.3 A.23.1 EG.5.1 B.1.1.318 XE B.1.623 XBB XBB.1.16 AY.4.2 B.1.525 BA.4 P.2 BQ.1 C.36.3 C.37 Other	0.7032 0.0389 0.0309 0.0249 0.0176 0.0139 0.0117 0.0108 0.0103 0.0094 0.0091 0.0086 0.0084 0.0067 0.0066 0.0061 0.0054 0.0052 0.0048 0.0045 0.0043 0.0043 0.0041 0.0041 0.0038 0.0033 0.003 0.0029 0.0025 0.0022 0.002 0.0013 0.0009 0.0241		
Mixture03	[('Omicron', 0.9485000000000001), ('Other', 0.013300000000000003), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0055), ('Theta', 0.004), ('BA.2.86* (BA.2.86X)', 0.0038), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0037), ('Beta', 0.0036), ('Alpha', 0.0035), ('Mu', 0.0029), ('Kappa', 0.0028), ('A', 0.0016), ('Delta', 0.0014), ('Gamma', 0.0013), ('XBB* (XBB.X)', 0.0011), ('Eta', 0.0009), ('Lambda', 0.0005), ('Zeta', 0.0005), ('EG.5* [Omicron (EG.5.X)]', 0.0005), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0003), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0003)]	BA.2 BA.4 XE BA.5 XD BA.2.75 P.3 BA.2.86 AV.1 CH.1.1 B.1.351 B.1.1.7 B.1.621 B.1.617.1 B.1.617.3 A.23.1 BA.1 P.1 B.1.617.2 XBB B.1.525 BA.3 BA.4.6 C.37 P.2 B.1.623 EG.5.1 B.1.1.318 AY.4.2 XBB.1.16 XBB.1.5 C.36.3 Other	0.4878 0.298 0.0843 0.0754 0.007 0.0055 0.004 0.0038 0.0037 0.0037 0.0036 0.0035 0.0029 0.0028 0.0016 0.0016 0.0015 0.0013 0.0011 0.0011 0.0009 0.0009 0.0006 0.0005 0.0005 0.0005 0.0005 0.0003 0.0003 0.0003 0.0003 0.0002 0.0		
Mixture04	[('Omicron', 0.8331), ('Other', 0.0512), ('Gamma', 0.0152), ('Beta', 0.014), ('Alpha', 0.0123), ('Mu', 0.0111), ('Delta', 0.0088), ('BA.2.86* (BA.2.86X)', 0.0084), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0082), ('Theta', 0.0076), ('XBB* (XBB.X)', 0.0041), ('EG.5* [Omicron (EG.5.X)]', 0.0041), ('A', 0.0039), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0036), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0035), ('Zeta', 0.0028), ('Kappa', 0.0026), ('Eta', 0.0025), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0023), ('Lambda', 0.0007)]	BA.1 BA.2 XD XE BA.3 P.1 B.1.351 B.1.1.7 B.1.621 BA.2.86 BA.2.75 BA.5 P.3 AV.1 B.1.617.2 BA.4.6 XBB EG.5.1 A.23.1 CH.1.1 B.1.623 XBB.1.16 B.1.1.318 P.2 B.1.617.1 BA.4 B.1.525 AY.4.2 XBB.1.5 B.1.617.3 BQ.1 C.37 C.36.3 Other	0.7393 0.0415 0.0238 0.0205 0.016 0.0152 0.014 0.0123 0.0111 0.0084 0.0082 0.0076 0.0076 0.0074 0.0064 0.0046 0.0041 0.0041 0.0039 0.0036 0.0036 0.0035 0.0031 0.0028 0.0026 0.0025 0.0025 0.0024 0.0023 0.0015 0.0011 0.0007 0.0005 0.0113		
Mixture05	[('Omicron', 0.8204), ('Other', 0.1159), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0076), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0068), ('Delta', 0.006500000000000001), ('Mu', 0.0048), ('Beta', 0.0042), ('BA.2.86* (BA.2.86X)', 0.0041), ('Alpha', 0.0039), ('XBB* (XBB.X)', 0.0038), ('EG.5* [Omicron (EG.5.X)]', 0.0032), ('Kappa', 0.0029), ('A', 0.0028), ('Theta', 0.0027), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0026), ('Eta', 0.0021), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0019), ('Zeta', 0.0018), ('Gamma', 0.0013), ('Lambda', 0.0006)]	BA.2 BA.4 BA.5 XE XD BA.3 BA.2.75 XBB.1.5 BA.4.6 B.1.621 AV.1 B.1.351 BA.2.86 AY.4.2 B.1.1.7 XBB EG.5.1 B.1.617.1 A.23.1 P.3 CH.1.1 BA.1 BQ.1 B.1.617.2 B.1.1.318 B.1.525 XBB.1.16 P.2 B.1.617.3 P.1 B.1.623 C.37 C.36.3 Other	0.3421 0.2992 0.0895 0.0663 0.0279 0.0123 0.0076 0.0068 0.0059 0.0048 0.0044 0.0042 0.0041 0.0041 0.0039 0.0038 0.0032 0.0029 0.0028 0.0027 0.0026 0.0026 0.0025 0.0024 0.0024 0.0021 0.0019 0.0018 0.0015 0.0013 0.0013 0.0006 0.0006 0.0778		
Mixture06	[('Omicron', 0.8486), ('Other', 0.0487), ('Delta', 0.0172), ('Beta', 0.0114), ('Alpha', 0.0099), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0088), ('Mu', 0.0079), ('Kappa', 0.0065), ('Gamma', 0.0062), ('Theta', 0.0058), ('BA.2.86* (BA.2.86X)', 0.0058), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0058), ('A', 0.0036), ('EG.5* [Omicron (EG.5.X)]', 0.0032), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0029), ('XBB* (XBB.X)', 0.0026), ('Eta', 0.0024), ('Zeta', 0.0013), ('Lambda', 0.0009), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0005)]	BA.1 BA.2 XD B.1.617.2 XE B.1.351 BA.3 B.1.1.7 AV.1 BA.2.75 B.1.621 BA.5 B.1.617.1 P.1 P.3 BA.2.86 CH.1.1 B.1.617.3 A.23.1 EG.5.1 B.1.1.318 BA.4.6 XBB.1.16 BA.4 XBB B.1.525 AY.4.2 B.1.623 P.2 C.37 C.36.3 XBB.1.5 BQ.1 Other	0.7846 0.0279 0.0249 0.0153 0.0129 0.0114 0.0102 0.0099 0.0097 0.0088 0.0079 0.0069 0.0065 0.0062 0.0058 0.0058 0.0058 0.0044 0.0036 0.0032 0.0031 0.0029 0.0029 0.0027 0.0026 0.0024 0.0019 0.0018 0.0013 0.0009 0.0009 0.0005 0.0005 0.0039		
Mixture07	[('Omicron', 0.6602000000000001), ('Alpha', 0.1215), ('Other', 0.05990000000000001), ('Gamma', 0.0596), ('Beta', 0.0337), ('Mu', 0.0148), ('BA.2.86* (BA.2.86X)', 0.0072), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.007), ('Theta', 0.0053), ('Delta', 0.0052), ('Zeta', 0.0041), ('A', 0.004), ('Eta', 0.0033), ('XBB* (XBB.X)', 0.0032), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0027), ('EG.5* [Omicron (EG.5.X)]', 0.0025), ('Kappa', 0.0019), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0019), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0018), ('Lambda', 0.0003)]	BA.2 BA.4 B.1.1.7 BA.5 P.1 XE B.1.351 XD B.1.621 BA.3 BA.2.86 BA.2.75 AV.1 P.3 P.2 A.23.1 AY.4.2 B.1.525 XBB B.1.1.318 B.1.623 BA.4.6 CH.1.1 BA.1 EG.5.1 B.1.617.3 B.1.617.1 XBB.1.5 XBB.1.16 BQ.1 B.1.617.2 C.36.3 C.37 Other	0.2979 0.2398 0.1215 0.0673 0.0596 0.0397 0.0337 0.0245 0.0148 0.0084 0.0072 0.007 0.0066 0.0053 0.0041 0.004 0.0035 0.0033 0.0032 0.0032 0.0029 0.0028 0.0027 0.0026 0.0025 0.002 0.0019 0.0019 0.0018 0.0017 0.0017 0.0008 0.0003 0.0199		
Mixture08	[('Omicron', 0.9102000000000001), ('Other', 0.029800000000000004), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.008), ('Mu', 0.0068), ('Alpha', 0.0061), ('BA.2.86* (BA.2.86X)', 0.0058), ('Delta', 0.0058), ('Beta', 0.0055), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0034), ('A', 0.0027), ('Gamma', 0.0026), ('EG.5* [Omicron (EG.5.X)]', 0.0026), ('Theta', 0.0022), ('XBB* (XBB.X)', 0.002), ('Eta', 0.0017), ('Kappa', 0.0016), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0016), ('Zeta', 0.0009), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0004), ('Lambda', 0.0003)]	BA.1 BA.2 XE BA.4 BA.3 XD BA.5 BA.2.75 B.1.621 B.1.1.7 BA.2.86 AV.1 B.1.351 B.1.617.2 CH.1.1 BA.4.6 A.23.1 P.1 EG.5.1 P.3 XBB B.1.525 B.1.617.1 XBB.1.16 B.1.623 AY.4.2 B.1.617.3 B.1.1.318 P.2 XBB.1.5 BQ.1 C.37 C.36.3 Other	0.7819 0.0426 0.028 0.0259 0.018 0.0175 0.0106 0.008 0.0068 0.0061 0.0058 0.0056 0.0055 0.0043 0.0034 0.0028 0.0027 0.0026 0.0026 0.0022 0.002 0.0017 0.0016 0.0016 0.0016 0.0015 0.0015 0.0015 0.0009 0.0004 0.0004 0.0003 0.0002 0.0019		
Mixture09	[('Other', 0.7522000000000001), ('Omicron', 0.0897), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0683), ('Delta', 0.0243), ('BA.2.86* (BA.2.86X)', 0.0116), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0081), ('Beta', 0.007), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0061), ('EG.5* [Omicron (EG.5.X)]', 0.0048), ('Mu', 0.0047), ('A', 0.0029), ('Zeta', 0.0029), ('XBB* (XBB.X)', 0.0028), ('Lambda', 0.0025), ('Alpha', 0.0025), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0023), ('Kappa', 0.0023), ('Theta', 0.0018), ('Eta', 0.0016), ('Gamma', 0.0015)]	XBB.1.5 BA.2 AY.4.2 BQ.1 BA.5 BA.2.86 BA.3 CH.1.1 B.1.351 XD BA.2.75 BA.4 BA.4.6 BA.1 EG.5.1 B.1.621 AV.1 XE A.23.1 P.2 XBB C.37 B.1.1.7 XBB.1.16 B.1.617.3 B.1.617.1 B.1.623 P.3 B.1.525 P.1 B.1.617.2 B.1.1.318 C.36.3 Other	0.0683 0.0242 0.023 0.0218 0.0154 0.0116 0.0084 0.0081 0.007 0.0065 0.0061 0.0061 0.0054 0.005 0.0048 0.0047 0.0038 0.0034 0.0029 0.0029 0.0028 0.0025 0.0025 0.0023 0.0023 0.0023 0.002 0.0018 0.0016 0.0015 0.0013 0.0012 0.0009 0.7355		
Mixture10	[('Omicron', 0.8758000000000001), ('Other', 0.045399999999999996), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0098), ('Delta', 0.0091), ('Mu', 0.0086), ('BA.2.86* (BA.2.86X)', 0.0079), ('Beta', 0.006), ('Alpha', 0.0054), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0042), ('EG.5* [Omicron (EG.5.X)]', 0.004), ('Theta', 0.0033), ('XBB* (XBB.X)', 0.0027), ('Gamma', 0.0027), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0025), ('A', 0.0024), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0023), ('Kappa', 0.0023), ('Eta', 0.0021), ('Lambda', 0.0019), ('Zeta', 0.0015)]	BA.1 BA.2 BA.3 XE XD BA.2.75 B.1.621 BA.2.86 BA.5 AV.1 B.1.617.2 B.1.351 B.1.1.7 BA.4.6 CH.1.1 EG.5.1 P.3 AY.4.2 B.1.1.318 XBB P.1 XBB.1.16 A.23.1 XBB.1.5 B.1.617.1 B.1.525 B.1.623 C.37 BA.4 B.1.617.3 P.2 BQ.1 C.36.3 Other	0.5906 0.1951 0.0428 0.0321 0.0186 0.0098 0.0086 0.0079 0.0076 0.0072 0.0063 0.006 0.0054 0.005 0.0042 0.004 0.0033 0.0028 0.0027 0.0027 0.0027 0.0025 0.0024 0.0023 0.0023 0.0021 0.0021 0.0019 0.0018 0.0017 0.0015 0.0008 0.0002 0.0129		
Mixture11	[('Omicron', 0.8825), ('Other', 0.0435), ('BA.2.86* (BA.2.86X)', 0.0091), ('Beta', 0.0072), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0069), ('Delta', 0.006699999999999999), ('Mu', 0.0058), ('Theta', 0.0057), ('Alpha', 0.0056), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0047), ('Lambda', 0.0034), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0029), ('A', 0.0028), ('EG.5* [Omicron (EG.5.X)]', 0.0028), ('Gamma', 0.0023), ('Eta', 0.0022), ('Kappa', 0.0018), ('XBB* (XBB.X)', 0.0018), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0012), ('Zeta', 0.0008)]	BA.2 XE XD BA.5 BA.3 BA.2.86 AV.1 B.1.351 BA.2.75 B.1.621 P.3 B.1.1.7 BA.4 XBB.1.5 B.1.617.2 C.37 BA.4.6 BA.1 CH.1.1 A.23.1 EG.5.1 AY.4.2 B.1.617.3 P.1 B.1.525 B.1.617.1 XBB B.1.623 B.1.1.318 XBB.1.16 P.2 C.36.3 Other	0.7679 0.0794 0.0189 0.0134 0.0104 0.0091 0.0081 0.0072 0.0069 0.0058 0.0057 0.0056 0.0049 0.0047 0.0042 0.0034 0.0033 0.0032 0.0029 0.0028 0.0028 0.0025 0.0023 0.0023 0.0022 0.0018 0.0018 0.0018 0.0015 0.0012 0.0008 0.0001 0.0108		
Mixture12	[('Omicron', 0.9202999999999999), ('Other', 0.0189), ('Beta', 0.0079), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0075), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0068), ('Theta', 0.0053), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0046), ('Mu', 0.0043), ('Alpha', 0.0037), ('Delta', 0.0036), ('BA.2.86* (BA.2.86X)', 0.0026), ('Kappa', 0.0024), ('Lambda', 0.0024), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0022), ('XBB* (XBB.X)', 0.0019), ('Gamma', 0.0019), ('A', 0.0014), ('EG.5* [Omicron (EG.5.X)]', 0.0013), ('Eta', 0.001), ('Zeta', 0.0002)]	BA.5 BA.4 BA.2 BA.3 B.1.351 CH.1.1 BA.2.75 XD P.3 AV.1 XE XBB.1.5 B.1.621 B.1.1.7 B.1.617.2 BA.2.86 B.1.617.1 C.37 XBB.1.16 BA.1 XBB P.1 A.23.1 B.1.623 EG.5.1 BA.4.6 B.1.525 AY.4.2 B.1.617.3 B.1.1.318 C.36.3 P.2 Other	0.8802 0.0134 0.0101 0.0082 0.0079 0.0075 0.0068 0.0067 0.0053 0.0051 0.0051 0.0046 0.0043 0.0037 0.0028 0.0026 0.0024 0.0024 0.0022 0.0021 0.0019 0.0019 0.0014 0.0013 0.0013 0.0012 0.001 0.0008 0.0008 0.0005 0.0004 0.0002 0.0041		
Mixture13	[('Omicron', 0.9521000000000001), ('Other', 0.0157), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0057), ('Beta', 0.0044), ('Alpha', 0.0029), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0028), ('Mu', 0.0024), ('Theta', 0.0018), ('A', 0.0017), ('Delta', 0.0016), ('XBB* (XBB.X)', 0.0015), ('BA.2.86* (BA.2.86X)', 0.0014), ('Gamma', 0.0014), ('Kappa', 0.0012), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0011), ('EG.5* [Omicron (EG.5.X)]', 0.0011), ('Eta', 0.0005), ('Lambda', 0.0004), ('Zeta', 0.0002)]	BA.4 BA.2 XE BA.5 XD BA.2.75 AV.1 B.1.351 BA.3 B.1.1.7 CH.1.1 B.1.621 P.3 A.23.1 XBB B.1.617.2 BA.2.86 P.1 B.1.617.3 B.1.617.1 BA.4.6 XBB.1.16 EG.5.1 BA.1 B.1.1.318 B.1.525 B.1.623 C.37 AY.4.2 P.2 C.36.3 Other	0.5205 0.2994 0.1067 0.02 0.006 0.0057 0.0046 0.0044 0.0037 0.0029 0.0028 0.0024 0.0018 0.0017 0.0015 0.0014 0.0014 0.0014 0.0012 0.0012 0.0011 0.0011 0.0011 0.0007 0.0006 0.0005 0.0005 0.0004 0.0002 0.0002 0.0001 0.0027		
Mixture14	[('Other', 0.6957), ('Omicron', 0.09770000000000001), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0816), ('Delta', 0.0275), ('XBB* (XBB.X)', 0.0168), ('BA.2.86* (BA.2.86X)', 0.0147), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0102), ('Lambda', 0.0084), ('EG.5* [Omicron (EG.5.X)]', 0.0082), ('Beta', 0.0064), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0048), ('A', 0.0046), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0045), ('Zeta', 0.0041), ('Alpha', 0.0037), ('Theta', 0.0035), ('Mu', 0.0026), ('Eta', 0.0021), ('Kappa', 0.0015), ('Gamma', 0.0014)]	XBB.1.5 AY.4.2 BA.4 BA.2 BA.5 XBB BA.4.6 BA.2.86 BA.2.75 BA.3 C.37 EG.5.1 XD B.1.351 BA.1 CH.1.1 A.23.1 XBB.1.16 P.2 B.1.1.7 P.3 AV.1 XE B.1.621 B.1.525 B.1.617.2 B.1.617.1 P.1 B.1.617.3 B.1.623 B.1.1.318 BQ.1 C.36.3 Other	0.0816 0.0258 0.0244 0.0218 0.0181 0.0168 0.0155 0.0147 0.0102 0.0086 0.0084 0.0082 0.0072 0.0064 0.0056 0.0048 0.0046 0.0045 0.0041 0.0037 0.0035 0.0033 0.0031 0.0026 0.0021 0.0017 0.0015 0.0014 0.0012 0.0011 0.001 0.0006 0.0006 0.6813		
Mixture15	[('Alpha', 0.8864), ('Omicron', 0.03600000000000001), ('Other', 0.0235), ('Delta', 0.0079), ('Mu', 0.0059), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0053), ('BA.2.86* (BA.2.86X)', 0.0048), ('Beta', 0.0044), ('A', 0.004), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0033), ('EG.5* [Omicron (EG.5.X)]', 0.0029), ('Theta', 0.0029), ('Kappa', 0.0025), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0022), ('XBB* (XBB.X)', 0.0018), ('Eta', 0.0018), ('Zeta', 0.0016), ('Gamma', 0.0014), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0009), ('Lambda', 0.0006)]	B.1.1.7 BA.5 XD AY.4.2 B.1.621 BA.1 BA.2.75 BA.2.86 BA.3 AV.1 B.1.351 A.23.1 XE CH.1.1 EG.5.1 P.3 BA.4.6 B.1.617.1 XBB.1.16 B.1.617.2 BA.4 XBB B.1.525 P.2 B.1.617.3 B.1.623 P.1 B.1.1.318 XBB.1.5 BA.2 C.37 BQ.1 C.36.3 Other	0.8864 0.0165 0.0075 0.0059 0.0059 0.0054 0.0053 0.0048 0.0046 0.0044 0.0044 0.004 0.0037 0.0033 0.0029 0.0029 0.0025 0.0025 0.0022 0.002 0.002 0.0018 0.0018 0.0016 0.0015 0.0014 0.0014 0.0012 0.0009 0.0008 0.0006 0.0005 0.0002 0.0073		
