	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.6881000000000002), ('Other', 0.06670000000000001), ('Alpha', 0.0546), ('Gamma', 0.0488), ('Delta', 0.0382), ('Beta', 0.0304), ('Mu', 0.0126), ('Theta', 0.0099), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0084), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0068), ('Kappa', 0.0064), ('BA.2.86* (BA.2.86X)', 0.0049), ('A', 0.0039), ('EG.5* [Omicron (EG.5.X)]', 0.0037), ('XBB* (XBB.X)', 0.0036), ('Eta', 0.0035), ('Zeta', 0.0034), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.003), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0018), ('Lambda', 0.0013)]	BA.2 BA.4 BA.5 B.1.1.7 P.1 XE B.1.617.2 BA.1 B.1.351 BA.3 XD B.1.621 AV.1 P.3 CH.1.1 BA.2.75 B.1.617.1 B.1.1.318 BA.2.86 B.1.623 B.1.617.3 A.23.1 EG.5.1 XBB B.1.525 P.2 XBB.1.5 AY.4.2 BA.4.6 XBB.1.16 C.36.3 C.37 BQ.1 Other	0.341 0.1567 0.0943 0.0546 0.0488 0.0429 0.0353 0.0349 0.0304 0.0148 0.014 0.0126 0.0109 0.0099 0.0084 0.0068 0.0064 0.0054 0.0049 0.0048 0.0047 0.0039 0.0037 0.0036 0.0035 0.0034 0.003 0.0029 0.0024 0.0018 0.0017 0.0013 0.0011 0.0252		
Mixture02	[('Other', 0.30879999999999996), ('Alpha', 0.2445), ('Omicron', 0.1331), ('Delta', 0.11610000000000001), ('Gamma', 0.0523), ('Beta', 0.0288), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.02), ('BA.2.86* (BA.2.86X)', 0.0142), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0139), ('Mu', 0.0122), ('Kappa', 0.0103), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0089), ('Theta', 0.0079), ('EG.5* [Omicron (EG.5.X)]', 0.0063), ('Zeta', 0.0052), ('A', 0.0044), ('Eta', 0.0044), ('XBB* (XBB.X)', 0.0035), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0034), ('Lambda', 0.0018)]	B.1.1.7 B.1.617.2 BA.1 P.1 B.1.351 XBB.1.5 XD BA.3 BA.5 BA.2.86 CH.1.1 B.1.621 B.1.617.1 BA.2.75 AV.1 BA.2 AY.4.2 P.3 BA.4.6 B.1.1.318 EG.5.1 BQ.1 P.2 B.1.617.3 A.23.1 B.1.525 B.1.623 XBB XBB.1.16 XE C.36.3 BA.4 C.37 Other	0.2445 0.1081 0.0764 0.0523 0.0288 0.02 0.0197 0.0159 0.0149 0.0142 0.0139 0.0122 0.0103 0.0089 0.0087 0.0082 0.008 0.0079 0.0065 0.0063 0.0063 0.0056 0.0052 0.0048 0.0044 0.0044 0.004 0.0035 0.0034 0.0031 0.0026 0.0025 0.0018 0.2627		
Mixture03	[('Omicron', 0.8711), ('Other', 0.0736), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0077), ('A', 0.0071), ('Delta', 0.0063), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0056), ('Alpha', 0.0045), ('BA.2.86* (BA.2.86X)', 0.0037), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0033), ('Kappa', 0.0033), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0032), ('Beta', 0.0029), ('XBB* (XBB.X)', 0.0015), ('Mu', 0.0015), ('Eta', 0.0012), ('Theta', 0.0011), ('EG.5* [Omicron (EG.5.X)]', 0.0009), ('Gamma', 0.0006), ('Zeta', 0.0006), ('Lambda', 0.0002)]	BA.2 XE BA.5 BA.4 XD BQ.1 BA.2.75 A.23.1 BA.3 XBB.1.5 B.1.1.7 BA.2.86 B.1.617.2 XBB.1.16 B.1.617.1 CH.1.1 B.1.351 AY.4.2 AV.1 XBB B.1.621 B.1.525 P.3 B.1.617.3 BA.1 EG.5.1 P.1 B.1.1.318 B.1.623 P.2 C.37 BA.4.6 Other	0.6212 0.1024 0.0986 0.0334 0.0082 0.0079 0.0077 0.0071 0.0065 0.0056 0.0045 0.0037 0.0036 0.0033 0.0033 0.0032 0.0029 0.0027 0.0019 0.0015 0.0015 0.0012 0.0011 0.001 0.0009 0.0009 0.0006 0.0006 0.0006 0.0006 0.0002 0.0002 0.0613		
Mixture04	[('Omicron', 0.45230000000000004), ('Other', 0.16399999999999998), ('Gamma', 0.1601), ('Alpha', 0.0661), ('Beta', 0.0485), ('Mu', 0.0196), ('Delta', 0.0166), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0112), ('Theta', 0.01), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0095), ('BA.2.86* (BA.2.86X)', 0.0086), ('Zeta', 0.0054), ('EG.5* [Omicron (EG.5.X)]', 0.0052), ('XBB* (XBB.X)', 0.0049), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0047), ('A', 0.0039), ('Eta', 0.0036), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0031), ('Kappa', 0.0017), ('Lambda', 0.0008)]	BA.2 P.1 BA.1 B.1.1.7 B.1.351 BA.3 XE XD B.1.621 BA.5 BA.2.75 P.3 XBB.1.5 AV.1 AY.4.2 BA.2.86 B.1.617.2 B.1.1.318 BA.4.6 B.1.623 P.2 EG.5.1 XBB CH.1.1 BQ.1 A.23.1 B.1.525 XBB.1.16 BA.4 B.1.617.3 B.1.617.1 C.37 C.36.3 Other	0.2355 0.1601 0.1131 0.0661 0.0485 0.0473 0.0312 0.0312 0.0196 0.0117 0.0112 0.01 0.0095 0.009 0.0089 0.0086 0.0077 0.0072 0.0062 0.0057 0.0054 0.0052 0.0049 0.0047 0.0044 0.0039 0.0036 0.0031 0.0029 0.0024 0.0017 0.0008 0.0006 0.1079		
Mixture05	[('Omicron', 0.7358000000000001), ('Other', 0.1787), ('BA.2.86* (BA.2.86X)', 0.0152), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0094), ('Delta', 0.009000000000000001), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.006), ('Mu', 0.0056), ('EG.5* [Omicron (EG.5.X)]', 0.0053), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0049), ('Beta', 0.0047), ('XBB* (XBB.X)', 0.0044), ('Theta', 0.0041), ('Alpha', 0.004), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.003), ('A', 0.0024), ('Kappa', 0.0022), ('Eta', 0.0022), ('Gamma', 0.0015), ('Zeta', 0.0009), ('Lambda', 0.0007)]	BA.2 BA.4 BA.5 XE XD BA.2.86 BA.3 BA.2.75 AY.4.2 XBB.1.5 BA.4.6 B.1.621 EG.5.1 AV.1 CH.1.1 B.1.351 XBB P.3 B.1.1.7 BA.1 XBB.1.16 BQ.1 A.23.1 B.1.617.1 B.1.525 B.1.617.2 B.1.623 P.1 B.1.1.318 B.1.617.3 P.2 C.37 C.36.3 Other	0.267 0.2083 0.1788 0.0575 0.0156 0.0152 0.0119 0.0094 0.007 0.006 0.0058 0.0056 0.0053 0.0053 0.0049 0.0047 0.0044 0.0041 0.004 0.0036 0.003 0.0029 0.0024 0.0022 0.0022 0.002 0.0016 0.0015 0.0015 0.0013 0.0009 0.0007 0.0005 0.1529		
Mixture06	[('Omicron', 0.5562999999999999), ('Delta', 0.1284), ('Alpha', 0.0751), ('Other', 0.07020000000000001), ('Gamma', 0.0665), ('Beta', 0.0292), ('Mu', 0.0152), ('Kappa', 0.0101), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0083), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.008), ('Theta', 0.0053), ('BA.2.86* (BA.2.86X)', 0.0047), ('Eta', 0.0043), ('Zeta', 0.0036), ('A', 0.0035), ('EG.5* [Omicron (EG.5.X)]', 0.003), ('XBB* (XBB.X)', 0.0026), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0023), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0021), ('Lambda', 0.0012)]	BA.2 BA.1 B.1.617.2 B.1.1.7 P.1 XE XD B.1.351 BA.3 B.1.621 AV.1 BA.5 B.1.617.1 CH.1.1 BA.2.75 B.1.1.318 B.1.617.3 P.3 BA.2.86 B.1.525 B.1.623 BA.4.6 P.2 A.23.1 EG.5.1 XBB C.36.3 XBB.1.5 XBB.1.16 AY.4.2 BA.4 C.37 BQ.1 Other	0.3404 0.1306 0.1263 0.0751 0.0665 0.0383 0.0303 0.0292 0.0287 0.0152 0.0134 0.0119 0.0101 0.0083 0.008 0.0075 0.0056 0.0053 0.0047 0.0043 0.0042 0.004 0.0036 0.0035 0.003 0.0026 0.0024 0.0023 0.0021 0.0021 0.0019 0.0012 0.0005 0.0068		
Mixture07	[('Omicron', 0.6285999999999999), ('Alpha', 0.1456), ('Gamma', 0.0865), ('Beta', 0.0435), ('Other', 0.0403), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0119), ('Mu', 0.0112), ('Theta', 0.0063), ('BA.2.86* (BA.2.86X)', 0.0041), ('Delta', 0.0033), ('A', 0.0028), ('Zeta', 0.0027), ('Eta', 0.0025), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0024), ('XBB* (XBB.X)', 0.002), ('EG.5* [Omicron (EG.5.X)]', 0.002), ('Kappa', 0.0017), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0013), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.001), ('Lambda', 0.0003)]	BA.2 BA.4 B.1.1.7 BA.5 P.1 XE B.1.351 BA.2.75 B.1.621 XD AV.1 BA.3 P.3 BA.2.86 B.1.623 B.1.1.318 BA.1 A.23.1 P.2 B.1.525 CH.1.1 AY.4.2 XBB EG.5.1 BA.4.6 B.1.617.3 B.1.617.1 XBB.1.16 B.1.617.2 XBB.1.5 BQ.1 C.37 C.36.3 Other	0.2376 0.183 0.1456 0.1164 0.0865 0.078 0.0435 0.0119 0.0112 0.0103 0.0086 0.0081 0.0063 0.0041 0.0035 0.0032 0.0029 0.0028 0.0027 0.0025 0.0024 0.0022 0.002 0.002 0.0019 0.0018 0.0017 0.0013 0.0011 0.001 0.0007 0.0003 0.0003 0.0126		
Mixture08	[('Omicron', 0.9074), ('Other', 0.0396), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0078), ('Mu', 0.0072), ('Beta', 0.0059), ('Delta', 0.005), ('BA.2.86* (BA.2.86X)', 0.0048), ('Alpha', 0.0048), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0025), ('Theta', 0.002), ('A', 0.002), ('Gamma', 0.0019), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0018), ('Eta', 0.0016), ('XBB* (XBB.X)', 0.0016), ('Kappa', 0.0015), ('EG.5* [Omicron (EG.5.X)]', 0.0015), ('Zeta', 0.0006), ('Lambda', 0.0004), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0001)]	BA.2 BA.1 BA.5 BA.4 XE BA.3 XD BA.2.75 B.1.621 B.1.351 BA.2.86 B.1.1.7 AV.1 B.1.617.2 CH.1.1 BA.4.6 B.1.1.318 P.3 A.23.1 P.1 XBB.1.16 B.1.525 XBB B.1.617.1 EG.5.1 B.1.623 AY.4.2 B.1.617.3 P.2 C.37 BQ.1 XBB.1.5 C.36.3 Other	0.4531 0.1465 0.1351 0.1172 0.0284 0.0247 0.0227 0.0078 0.0072 0.0059 0.0048 0.0048 0.0047 0.0036 0.0025 0.0022 0.0021 0.002 0.002 0.0019 0.0018 0.0016 0.0016 0.0015 0.0015 0.0014 0.0014 0.0013 0.0006 0.0004 0.0002 0.0001 0.0001 0.0073		
Mixture09	[('Other', 0.7526), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0771), ('Omicron', 0.06480000000000001), ('Delta', 0.0506), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0079), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0063), ('Beta', 0.0057), ('BA.2.86* (BA.2.86X)', 0.0055), ('EG.5* [Omicron (EG.5.X)]', 0.0043), ('Mu', 0.0037), ('Alpha', 0.0033), ('Theta', 0.0032), ('XBB* (XBB.X)', 0.0026), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0023), ('Eta', 0.0021), ('A', 0.0021), ('Kappa', 0.002), ('Gamma', 0.0018), ('Zeta', 0.0013), ('Lambda', 0.0009)]	XBB.1.5 AY.4.2 BA.5 BQ.1 BA.3 BA.4.6 CH.1.1 BA.1 BA.2.75 B.1.617.2 B.1.351 BA.2.86 EG.5.1 XD B.1.621 BA.4 B.1.1.7 P.3 AV.1 XE XBB XBB.1.16 B.1.525 A.23.1 B.1.617.1 P.1 B.1.617.3 P.2 B.1.623 C.37 B.1.1.318 BA.2 C.36.3 Other	0.0771 0.0447 0.0181 0.0151 0.0096 0.0082 0.0079 0.0066 0.0063 0.0059 0.0057 0.0055 0.0043 0.004 0.0037 0.0035 0.0033 0.0032 0.0032 0.003 0.0026 0.0023 0.0021 0.0021 0.002 0.0018 0.0013 0.0013 0.0012 0.0009 0.0008 0.0007 0.0006 0.7415		
Mixture10	[('Omicron', 0.9158999999999999), ('Other', 0.0282), ('Mu', 0.0072), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0065), ('Delta', 0.0060999999999999995), ('Beta', 0.0056), ('BA.2.86* (BA.2.86X)', 0.0054), ('Alpha', 0.0044), ('Theta', 0.004), ('XBB* (XBB.X)', 0.0025), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0024), ('A', 0.0022), ('Gamma', 0.0021), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0018), ('EG.5* [Omicron (EG.5.X)]', 0.0016), ('Kappa', 0.0016), ('Eta', 0.0013), ('Zeta', 0.0009), ('Lambda', 0.0005)]	BA.2 BA.1 XE XD BA.3 BA.5 B.1.621 BA.2.75 B.1.351 BA.2.86 AV.1 B.1.617.2 B.1.1.7 P.3 BA.4.6 XBB CH.1.1 A.23.1 P.1 B.1.1.318 XBB.1.16 EG.5.1 B.1.617.1 B.1.617.3 BA.4 B.1.525 B.1.623 AY.4.2 P.2 C.37 BQ.1 Other	0.596 0.2439 0.0462 0.0178 0.0172 0.0082 0.0072 0.0065 0.0056 0.0054 0.0051 0.0049 0.0044 0.004 0.0027 0.0025 0.0024 0.0022 0.0021 0.0019 0.0018 0.0016 0.0016 0.0016 0.0014 0.0013 0.0013 0.0012 0.0009 0.0005 0.0003 0.0005		
Mixture11	[('Omicron', 0.8985999999999998), ('Other', 0.027), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0126), ('Theta', 0.0077), ('Mu', 0.0072), ('Beta', 0.0061), ('Delta', 0.0058), ('Alpha', 0.0054), ('BA.2.86* (BA.2.86X)', 0.0047), ('Gamma', 0.0043), ('A', 0.0033), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0029), ('Eta', 0.0027), ('Lambda', 0.0024), ('EG.5* [Omicron (EG.5.X)]', 0.0022), ('Zeta', 0.0022), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0017), ('XBB* (XBB.X)', 0.0016), ('Kappa', 0.0014), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0002)]	BA.2 XE BA.2.75 XD P.3 AV.1 B.1.621 BA.5 B.1.351 B.1.1.7 BA.2.86 B.1.617.2 P.1 B.1.623 BA.3 A.23.1 CH.1.1 B.1.525 BA.4.6 C.37 EG.5.1 P.2 BA.1 B.1.1.318 XBB.1.16 XBB B.1.617.3 BA.4 B.1.617.1 AY.4.2 C.36.3 XBB.1.5 BQ.1 Other	0.8156 0.0667 0.0126 0.0081 0.0077 0.0075 0.0072 0.0063 0.0061 0.0054 0.0047 0.0045 0.0043 0.0042 0.0039 0.0033 0.0029 0.0027 0.0025 0.0024 0.0022 0.0022 0.002 0.0017 0.0017 0.0016 0.0016 0.0015 0.0014 0.0013 0.0003 0.0002 0.0001 0.0036		
Mixture12	[('Omicron', 0.8534999999999999), ('Other', 0.0503), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0263), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0113), ('Delta', 0.0092), ('Beta', 0.0087), ('XBB* (XBB.X)', 0.0062), ('Alpha', 0.0055), ('BA.2.86* (BA.2.86X)', 0.0044), ('Mu', 0.0042), ('Kappa', 0.0036), ('Theta', 0.0033), ('A', 0.0027), ('Gamma', 0.0024), ('Eta', 0.0019), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0019), ('EG.5* [Omicron (EG.5.X)]', 0.0019), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0017), ('Zeta', 0.001)]	BA.5 BA.2 CH.1.1 BA.4 BA.3 BA.2.75 XD B.1.351 B.1.617.2 XBB XE B.1.1.7 AV.1 BA.2.86 B.1.621 B.1.617.1 BA.1 P.3 A.23.1 AY.4.2 P.1 BA.4.6 B.1.525 B.1.623 XBB.1.16 EG.5.1 XBB.1.5 B.1.1.318 C.36.3 B.1.617.3 P.2 BQ.1 Other	0.7681 0.0264 0.0263 0.0244 0.0234 0.0113 0.0105 0.0087 0.0066 0.0062 0.0057 0.0055 0.0055 0.0044 0.0042 0.0036 0.0033 0.0033 0.0027 0.0026 0.0024 0.0021 0.0019 0.0019 0.0019 0.0019 0.0017 0.0013 0.0012 0.0012 0.001 0.0001 0.0287		
Mixture13	[('Omicron', 0.9480000000000001), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0131), ('Other', 0.0103), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0042), ('Beta', 0.0041), ('Alpha', 0.0036), ('Kappa', 0.0027), ('BA.2.86* (BA.2.86X)', 0.0026), ('Mu', 0.0022), ('Delta', 0.0018), ('A', 0.0013), ('XBB* (XBB.X)', 0.0012), ('Gamma', 0.0011), ('Theta', 0.001), ('EG.5* [Omicron (EG.5.X)]', 0.0008), ('Eta', 0.0007), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0006), ('Zeta', 0.0004), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0002)]	BA.4 BA.2 XE BA.5 BA.2.75 CH.1.1 B.1.351 XD B.1.1.7 AV.1 B.1.617.1 BA.2.86 B.1.621 BA.3 B.1.617.3 BA.1 B.1.617.2 BA.4.6 A.23.1 XBB P.1 P.3 EG.5.1 B.1.525 B.1.623 XBB.1.16 AY.4.2 P.2 B.1.1.318 C.36.3 XBB.1.5 Other	0.5798 0.2606 0.0894 0.0138 0.0131 0.0042 0.0041 0.0041 0.0036 0.003 0.0027 0.0026 0.0022 0.0016 0.0015 0.0015 0.0013 0.0013 0.0013 0.0012 0.0011 0.001 0.0008 0.0007 0.0006 0.0006 0.0005 0.0004 0.0003 0.0003 0.0002 0.0005		
Mixture14	[('Other', 0.7782), ('Omicron', 0.07959999999999999), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0489), ('Delta', 0.018500000000000003), ('BA.2.86* (BA.2.86X)', 0.0166), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0138), ('EG.5* [Omicron (EG.5.X)]', 0.0075), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0065), ('Beta', 0.0062), ('Mu', 0.0033), ('XBB* (XBB.X)', 0.0032), ('Alpha', 0.0031), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0025), ('Eta', 0.0024), ('A', 0.0023), ('Kappa', 0.0021), ('Gamma', 0.0017), ('Zeta', 0.0017), ('Lambda', 0.001), ('Theta', 0.0009)]	XBB.1.5 BQ.1 BA.2.86 BA.4.6 CH.1.1 AY.4.2 BA.5 EG.5.1 BA.2.75 B.1.617.2 B.1.351 BA.3 BA.1 XD XE B.1.621 XBB B.1.1.7 XBB.1.16 AV.1 BA.4 B.1.525 A.23.1 B.1.617.1 P.1 P.2 B.1.617.3 C.37 P.3 B.1.623 B.1.1.318 BA.2 C.36.3 Other	0.0489 0.0348 0.0166 0.015 0.0138 0.0122 0.0114 0.0075 0.0065 0.0063 0.0062 0.0059 0.0056 0.005 0.0038 0.0033 0.0032 0.0031 0.0025 0.0025 0.0024 0.0024 0.0023 0.0021 0.0017 0.0017 0.0011 0.001 0.0009 0.0009 0.0009 0.0007 0.0004 0.7674		
