	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.8865999999999999), ('Other', 0.0484), ('Gamma', 0.0132), ('Delta', 0.011099999999999999), ('Beta', 0.0108), ('Alpha', 0.0084), ('Theta', 0.0055), ('Eta', 0.0038), ('Kappa', 0.0035), ('Mu', 0.0032), ('A', 0.0032), ('Lambda', 0.0013), ('Zeta', 0.0009)]	BA.1 BA.2 BA.4 BA.3 XE XD P.1 B.1.351 AV.1 BA.5 B.1.1.7 BA.2.75 XBB.1.5 B.1.617.2 P.3 EG.5.1 B.1.617.3 B.1.1.318 B.1.623 AY.4.2 BA.4.6 XBB.1.16 XBB B.1.525 B.1.617.1 CH.1.1 B.1.621 A.23.1 BA.2.86 C.37 P.2 C.36.3 BQ.1 Other	0.6107 0.1204 0.045 0.0373 0.0253 0.0133 0.0132 0.0108 0.0099 0.0097 0.0084 0.0078 0.0071 0.0065 0.0055 0.0055 0.0054 0.0053 0.0048 0.0046 0.0044 0.0039 0.0038 0.0038 0.0035 0.0033 0.0032 0.0032 0.0021 0.0013 0.0009 0.0008 0.0003 0.0089		
Mixture02	[('Omicron', 0.8082999999999999), ('Other', 0.08610000000000001), ('Delta', 0.0305), ('Alpha', 0.0163), ('Beta', 0.015), ('Gamma', 0.0106), ('Kappa', 0.0077), ('Theta', 0.0071), ('Eta', 0.0066), ('Mu', 0.0055), ('A', 0.0034), ('Lambda', 0.0017), ('Zeta', 0.0013)]	BA.1 XD B.1.617.2 B.1.1.7 B.1.351 BA.3 BA.2 B.1.617.3 P.1 BA.2.75 B.1.617.1 BA.2.86 AV.1 P.3 AY.4.2 B.1.525 B.1.1.318 BA.5 CH.1.1 XBB.1.5 EG.5.1 B.1.621 XBB.1.16 XBB B.1.623 A.23.1 BQ.1 XE BA.4 BA.4.6 C.37 C.36.3 P.2 Other	0.7235 0.025 0.0234 0.0163 0.015 0.0129 0.0112 0.011 0.0106 0.0092 0.0077 0.0073 0.0073 0.0071 0.0071 0.0066 0.0063 0.0063 0.0063 0.0059 0.0055 0.0055 0.0047 0.0042 0.0038 0.0034 0.0033 0.0029 0.0028 0.0023 0.0017 0.0017 0.0013 0.031		
Mixture03	[('Omicron', 0.9455), ('Other', 0.0276), ('Theta', 0.0043), ('Delta', 0.004), ('Beta', 0.0035), ('Kappa', 0.0032), ('Eta', 0.003), ('Mu', 0.0025), ('Alpha', 0.0025), ('A', 0.0017), ('Gamma', 0.0013), ('Lambda', 0.0011), ('Zeta', 0.0002)]	BA.2 BA.4 BA.5 XE XD BA.3 CH.1.1 AV.1 BA.2.75 B.1.617.3 P.3 B.1.351 B.1.617.1 AY.4.2 B.1.525 B.1.621 B.1.1.7 BA.2.86 EG.5.1 A.23.1 B.1.623 P.1 B.1.1.318 XBB.1.16 XBB.1.5 C.37 BA.1 B.1.617.2 C.36.3 BA.4.6 BQ.1 P.2 XBB Other	0.5098 0.2676 0.0757 0.0676 0.0114 0.0064 0.0058 0.0051 0.0046 0.0043 0.0043 0.0035 0.0032 0.0032 0.003 0.0025 0.0025 0.0021 0.0017 0.0017 0.0016 0.0013 0.0012 0.0012 0.0011 0.0011 0.001 0.0008 0.0005 0.0004 0.0003 0.0002 0.0002 0.0035		
Mixture04	[('Omicron', 0.8733999999999998), ('Other', 0.054799999999999995), ('Gamma', 0.0151), ('Beta', 0.0134), ('Theta', 0.0093), ('Delta', 0.0079), ('Alpha', 0.0062), ('Mu', 0.0055), ('Eta', 0.0051), ('A', 0.0031), ('Kappa', 0.0031), ('Zeta', 0.0023), ('Lambda', 0.0009)]	BA.1 BA.2 XE XD BA.3 P.1 B.1.351 P.3 AV.1 BA.2.75 XBB.1.16 B.1.1.7 EG.5.1 B.1.623 B.1.621 BA.4 BA.2.86 B.1.1.318 B.1.525 AY.4.2 B.1.617.3 XBB.1.5 CH.1.1 B.1.617.2 A.23.1 B.1.617.1 BA.5 XBB P.2 BA.4.6 BQ.1 C.37 C.36.3 Other	0.7578 0.0331 0.0194 0.0186 0.0178 0.0151 0.0134 0.0093 0.0076 0.0073 0.0066 0.0062 0.006 0.0056 0.0055 0.0053 0.0052 0.0052 0.0051 0.0047 0.0039 0.0035 0.0033 0.0032 0.0031 0.0031 0.0029 0.0024 0.0023 0.0014 0.0014 0.0009 0.0008 0.0131		
Mixture05	[('Omicron', 0.8439000000000002), ('Other', 0.1117), ('Delta', 0.012199999999999999), ('Eta', 0.0068), ('Beta', 0.0049), ('Mu', 0.0043), ('Theta', 0.0043), ('Alpha', 0.0033), ('Gamma', 0.0027), ('Kappa', 0.0025), ('A', 0.0018), ('Zeta', 0.0015)]	BA.2 BA.4 BA.5 XE XD BA.3 AY.4.2 XBB.1.5 BA.2.75 B.1.525 AV.1 EG.5.1 B.1.351 B.1.623 B.1.1.318 B.1.621 P.3 B.1.617.3 BA.4.6 B.1.1.7 BQ.1 P.1 BA.2.86 XBB.1.16 B.1.617.1 BA.1 B.1.617.2 XBB A.23.1 CH.1.1 P.2 C.36.3 Other	0.3259 0.2964 0.083 0.0817 0.0237 0.0188 0.0101 0.008 0.0075 0.0068 0.0061 0.005 0.0049 0.0047 0.0044 0.0043 0.0043 0.0042 0.0036 0.0033 0.0032 0.0027 0.0026 0.0026 0.0025 0.0022 0.0021 0.0018 0.0018 0.0016 0.0015 0.0009 0.0677		
Mixture06	[('Omicron', 0.8864000000000001), ('Other', 0.054700000000000006), ('Delta', 0.0148), ('Beta', 0.008), ('Theta', 0.0077), ('Gamma', 0.0062), ('Alpha', 0.0053), ('Kappa', 0.0052), ('Mu', 0.0049), ('Eta', 0.0037), ('A', 0.0017), ('Lambda', 0.001), ('Zeta', 0.0006)]	BA.1 XD BA.2 XE B.1.617.2 AV.1 BA.3 B.1.351 P.3 BA.2.75 B.1.617.3 P.1 XBB.1.16 B.1.1.7 EG.5.1 B.1.617.1 B.1.621 B.1.623 B.1.1.318 CH.1.1 B.1.525 BA.5 AY.4.2 BA.2.86 BA.4.6 A.23.1 BA.4 BQ.1 XBB.1.5 XBB C.37 C.36.3 P.2 Other	0.8064 0.0228 0.0217 0.013 0.0117 0.01 0.0096 0.008 0.0077 0.0075 0.0066 0.0062 0.0056 0.0053 0.0052 0.0052 0.0049 0.0048 0.0041 0.004 0.0037 0.0036 0.0031 0.0026 0.0025 0.0017 0.0013 0.0012 0.0011 0.0011 0.001 0.001 0.0006 0.0054		
Mixture07	[('Omicron', 0.6904999999999999), ('Other', 0.11560000000000001), ('Gamma', 0.0612), ('Alpha', 0.058), ('Beta', 0.0335), ('Mu', 0.0137), ('Delta', 0.008), ('Eta', 0.0058), ('Theta', 0.0053), ('A', 0.0032), ('Kappa', 0.0026), ('Zeta', 0.0022), ('Lambda', 0.0005)]	BA.2 BA.4 BA.5 P.1 B.1.1.7 XE B.1.351 BA.3 B.1.621 XD AV.1 B.1.1.318 AY.4.2 BA.2.75 B.1.525 B.1.617.3 P.3 EG.5.1 B.1.623 XBB.1.16 A.23.1 CH.1.1 B.1.617.1 BA.1 BA.2.86 P.2 XBB BQ.1 BA.4.6 XBB.1.5 B.1.617.2 C.36.3 C.37 Other	0.3033 0.2218 0.0645 0.0612 0.058 0.052 0.0335 0.021 0.0137 0.0093 0.0085 0.0078 0.0072 0.0061 0.0058 0.0056 0.0053 0.0049 0.0045 0.0033 0.0032 0.0031 0.0026 0.0025 0.0022 0.0022 0.0022 0.0014 0.0011 0.0011 0.0008 0.0007 0.0005 0.0792		
Mixture08	[('Omicron', 0.9317), ('Other', 0.036), ('Delta', 0.005900000000000001), ('Eta', 0.0049), ('Gamma', 0.0039), ('Beta', 0.0039), ('Theta', 0.0031), ('Mu', 0.0031), ('Alpha', 0.0029), ('Kappa', 0.0021), ('A', 0.0012), ('Zeta', 0.0009), ('Lambda', 0.0003)]	BA.1 BA.2 XE BA.3 BA.4 XD BA.5 AV.1 BA.2.75 B.1.617.3 B.1.525 XBB.1.16 P.1 B.1.351 EG.5.1 AY.4.2 P.3 B.1.621 B.1.1.7 B.1.617.2 B.1.1.318 B.1.623 B.1.617.1 BA.2.86 A.23.1 CH.1.1 BA.4.6 XBB.1.5 P.2 XBB C.36.3 C.37 BQ.1 Other	0.8004 0.031 0.0295 0.0214 0.0197 0.0149 0.0097 0.008 0.0064 0.0053 0.0049 0.0039 0.0039 0.0039 0.0038 0.0032 0.0031 0.0031 0.0029 0.0027 0.0023 0.0022 0.0021 0.002 0.0012 0.0012 0.0012 0.0009 0.0009 0.0005 0.0004 0.0003 0.0001 0.0029		
Mixture09	[('Other', 0.7028000000000001), ('Omicron', 0.24160000000000004), ('Delta', 0.011899999999999999), ('Lambda', 0.011), ('Beta', 0.0077), ('Eta', 0.0051), ('Theta', 0.0047), ('Gamma', 0.0041), ('Zeta', 0.0037), ('Alpha', 0.0029), ('Kappa', 0.0017), ('Mu', 0.0017), ('A', 0.0012)]	BA.2 XBB.1.5 BQ.1 BA.2.86 BA.4.6 C.37 AY.4.2 BA.5 EG.5.1 XD B.1.351 BA.3 XBB.1.16 BA.2.75 B.1.623 B.1.617.3 AV.1 B.1.525 P.3 BA.4 BA.1 P.1 P.2 CH.1.1 B.1.1.7 XBB B.1.1.318 XE B.1.617.1 B.1.621 B.1.617.2 A.23.1 C.36.3 Other	0.0602 0.0516 0.0309 0.0282 0.0145 0.011 0.0104 0.0103 0.0084 0.0083 0.0077 0.0077 0.0067 0.0065 0.006 0.0059 0.0057 0.0051 0.0047 0.0046 0.0045 0.0041 0.0037 0.003 0.0029 0.0028 0.0022 0.0017 0.0017 0.0017 0.0015 0.0012 0.0008 0.6739		
Mixture10	[('Omicron', 0.9137), ('Other', 0.0454), ('Delta', 0.0086), ('Theta', 0.0055), ('Beta', 0.0046), ('Mu', 0.0044), ('Alpha', 0.0044), ('Eta', 0.0041), ('Gamma', 0.0036), ('Lambda', 0.0023), ('Kappa', 0.0019), ('Zeta', 0.001), ('A', 0.0008)]	BA.1 BA.2 XE BA.3 XD AV.1 EG.5.1 BA.2.75 B.1.617.3 BA.5 P.3 AY.4.2 XBB.1.16 BA.2.86 B.1.1.318 B.1.351 B.1.621 B.1.1.7 B.1.525 P.1 BA.4 B.1.623 B.1.617.2 C.37 XBB B.1.617.1 BA.4.6 XBB.1.5 CH.1.1 BQ.1 P.2 A.23.1 C.36.3 Other	0.6005 0.1506 0.0825 0.0407 0.0171 0.0072 0.0063 0.0063 0.0057 0.0056 0.0055 0.0055 0.0051 0.0051 0.0047 0.0046 0.0044 0.0044 0.0041 0.0036 0.0035 0.0031 0.0031 0.0023 0.002 0.0019 0.0017 0.0015 0.0013 0.001 0.001 0.0008 0.0003 0.0073		
Mixture11	[('Omicron', 0.8660999999999999), ('Other', 0.06770000000000001), ('Theta', 0.0101), ('Delta', 0.0089), ('Beta', 0.0087), ('Mu', 0.0071), ('Eta', 0.0066), ('Gamma', 0.0056), ('Lambda', 0.005), ('Alpha', 0.0044), ('A', 0.0037), ('Kappa', 0.0032), ('Zeta', 0.003)]	BA.2 XE XD BA.5 P.3 AV.1 BA.3 BA.4 B.1.351 B.1.621 EG.5.1 B.1.525 BA.2.75 B.1.623 B.1.1.318 AY.4.2 P.1 C.37 B.1.617.3 XBB.1.16 BA.2.86 B.1.1.7 A.23.1 BA.1 B.1.617.2 B.1.617.1 P.2 BA.4.6 XBB XBB.1.5 CH.1.1 BQ.1 C.36.3 Other	0.724 0.0758 0.0201 0.0123 0.0101 0.01 0.0099 0.009 0.0087 0.0071 0.0067 0.0066 0.0065 0.0061 0.006 0.0056 0.0056 0.005 0.0049 0.0046 0.0045 0.0044 0.0037 0.0035 0.0033 0.0032 0.003 0.0023 0.0021 0.0019 0.0018 0.0012 0.0008 0.0198		
Mixture12	[('Omicron', 0.9277999999999998), ('Other', 0.03389999999999999), ('Delta', 0.0121), ('Beta', 0.0049), ('Theta', 0.0049), ('Kappa', 0.0038), ('Alpha', 0.0033), ('Eta', 0.0026), ('Mu', 0.0026), ('Lambda', 0.0021), ('Gamma', 0.0016), ('A', 0.0002), ('Zeta', 0.0002)]	BA.5 XD BA.3 CH.1.1 BA.4 BA.2 B.1.617.2 BA.2.75 AV.1 B.1.351 P.3 XE B.1.617.1 B.1.1.7 B.1.617.3 B.1.623 AY.4.2 XBB.1.16 B.1.525 B.1.621 XBB.1.5 C.37 BA.4.6 C.36.3 P.1 BA.2.86 EG.5.1 B.1.1.318 XBB BA.1 A.23.1 BQ.1 P.2 Other	0.8631 0.0163 0.0131 0.0101 0.0097 0.0094 0.0094 0.0062 0.0054 0.0049 0.0049 0.0045 0.0038 0.0033 0.0031 0.0028 0.0027 0.0027 0.0026 0.0026 0.0024 0.0021 0.0017 0.0017 0.0016 0.0015 0.0014 0.0013 0.0012 0.0006 0.0002 0.0002 0.0002 0.0033		
Mixture13	[('Omicron', 0.9555000000000002), ('Other', 0.025500000000000002), ('Beta', 0.0044), ('Eta', 0.0028), ('Delta', 0.0026), ('Alpha', 0.002), ('Theta', 0.0019), ('Mu', 0.0019), ('Kappa', 0.0018), ('Gamma', 0.0006), ('A', 0.0004), ('Zeta', 0.0003), ('Lambda', 0.0003)]	BA.4 BA.2 XE CH.1.1 BA.5 XD BA.3 AV.1 B.1.351 B.1.617.3 B.1.525 B.1.1.318 BA.2.75 XBB.1.16 AY.4.2 B.1.1.7 P.3 B.1.621 B.1.617.1 XBB BA.4.6 B.1.623 BA.2.86 C.36.3 EG.5.1 P.1 BQ.1 B.1.617.2 BA.1 A.23.1 P.2 C.37 XBB.1.5 Other	0.5003 0.3522 0.066 0.0108 0.0087 0.0082 0.0081 0.0061 0.0044 0.0038 0.0028 0.0027 0.0026 0.002 0.002 0.002 0.0019 0.0019 0.0018 0.0011 0.001 0.0009 0.0008 0.0008 0.0007 0.0006 0.0006 0.0006 0.0005 0.0004 0.0003 0.0003 0.0001 0.003		
Mixture14	[('Other', 0.6623), ('Omicron', 0.2553), ('Delta', 0.0402), ('Beta', 0.0075), ('Zeta', 0.006), ('Eta', 0.0057), ('Theta', 0.0047), ('Gamma', 0.0043), ('Lambda', 0.0042), ('A', 0.0035), ('Alpha', 0.0027), ('Kappa', 0.0019), ('Mu', 0.0016)]	XBB.1.5 BA.2 AY.4.2 EG.5.1 XBB BQ.1 BA.4.6 BA.5 BA.2.75 XD B.1.351 BA.3 AV.1 XBB.1.16 P.2 B.1.525 CH.1.1 BA.4 P.3 B.1.617.3 BA.2.86 P.1 C.37 BA.1 A.23.1 B.1.623 B.1.1.318 B.1.1.7 C.36.3 XE B.1.617.1 B.1.617.2 B.1.621 Other	0.0923 0.0402 0.0385 0.0189 0.0172 0.0149 0.0141 0.0133 0.0096 0.0075 0.0075 0.0073 0.0068 0.0063 0.006 0.0057 0.0055 0.0054 0.0047 0.0046 0.0045 0.0043 0.0042 0.0038 0.0035 0.0034 0.0029 0.0027 0.002 0.002 0.0019 0.0017 0.0016 0.6351		
Mixture15	[('Other', 0.4686), ('Alpha', 0.4426), ('Omicron', 0.05680000000000001), ('Delta', 0.0091), ('Mu', 0.0042), ('Theta', 0.004), ('Eta', 0.0038), ('Beta', 0.003), ('Zeta', 0.0022), ('Gamma', 0.0019), ('Kappa', 0.0016), ('A', 0.0015), ('Lambda', 0.0006)]	B.1.1.7 BA.3 BA.2.75 AV.1 BA.5 AY.4.2 XD XBB.1.16 BA.1 B.1.621 EG.5.1 P.3 B.1.617.3 B.1.525 BA.2.86 BA.2 BA.4.6 B.1.351 XE B.1.617.2 P.2 B.1.623 B.1.1.318 P.1 CH.1.1 B.1.617.1 A.23.1 BA.4 XBB.1.5 C.37 BQ.1 XBB C.36.3 Other	0.4426 0.0092 0.0089 0.0077 0.007 0.0069 0.0057 0.005 0.0043 0.0042 0.0042 0.004 0.0039 0.0038 0.0038 0.0035 0.0034 0.003 0.0022 0.0022 0.0022 0.0022 0.0021 0.0019 0.0019 0.0016 0.0015 0.0013 0.001 0.0006 0.0006 0.0005 0.0004 0.4466		
