Sample ID,Barcode,Primer Scheme,sample_name,Sequence date,collection_date
Mixture01,barcode49,V4.1,Mixture01,2023-06-26,2023-04-27
Mixture02,barcode50,V4.1,Mixture02,2023-06-26,2023-04-27
Mixture03,barcode51,V4.1,Mixture03,2023-06-26,2023-04-27
Mixture04,barcode52,V4.1,Mixture04,2023-06-26,2023-04-27
Mixture05,barcode53,V4.1,Mixture05,2023-06-26,2023-04-27
Mixture06,barcode54,V4.1,Mixture06,2023-06-26,2023-04-27
Mixture07,barcode55,V4.1,Mixture07,2023-06-26,2023-04-27
Mixture08,barcode56,V4.1,Mixture08,2023-06-26,2023-04-27
Mixture09,barcode57,V4.1,Mixture09,2023-06-26,2023-04-27
Mixture10,barcode58,V4.1,Mixture10,2023-06-26,2023-04-27
Mixture11,barcode59,V4.1,Mixture11,2023-06-26,2023-04-27
Mixture12,barcode60,V4.1,Mixture12,2023-06-26,2023-04-27
Mixture13,barcode61,V4.1,Mixture13,2023-06-26,2023-04-27
Mixture14,barcode62,V4.1,Mixture14,2023-06-26,2023-04-27
Mixture15,barcode63,V4.1,Mixture15,2023-06-26,2023-04-27
Mixture16,barcode64,V4.1,Mixture16,2023-06-26,2023-04-27
Mixture17,barcode65,V4.1,Mixture17,2023-06-26,2023-04-27
Mixture18,barcode66,V4.1,Mixture18,2023-06-26,2023-04-27
Mixture19,barcode67,V4.1,Mixture19,2023-06-26,2023-04-27
Mixture20,barcode68,V4.1,Mixture20,2023-06-26,2023-04-27
Mixture21,barcode69,V4.1,Mixture21,2023-06-26,2023-04-27
Mixture22,barcode70,V4.1,Mixture22,2023-06-26,2023-04-27
Mixture23,barcode71,V4.1,Mixture23,2023-06-26,2023-04-27
Mixture24,barcode72,V4.1,Mixture24,2023-06-26,2023-04-27
Mixture25,barcode73,V4.1,Mixture25,2023-06-26,2023-04-27
Mixture26,barcode74,V4.1,Mixture26,2023-06-26,2023-04-25
Mixture27,barcode75,V4.1,Mixture27,2023-06-26,2023-04-25
Mixture28,barcode76,V4.1,Mixture28,2023-06-26,2023-04-25
Mixture29,barcode77,V4.1,Mixture29,2023-06-26,2023-04-25
Mixture30,barcode78,V4.1,Mixture30,2023-06-26,2023-04-25
Mixture31,barcode79,V4.1,Mixture31,2023-06-26,2023-04-25
Mixture32,barcode80,V4.1,Mixture32,2023-06-26,2023-04-25
Mixture33,barcode81,V4.1,Mixture33,2023-06-26,2023-04-25
Mixture34,barcode82,V4.1,Mixture34,2023-06-26,2023-04-25
Mixture35,barcode83,V4.1,Mixture35,2023-06-26,2023-04-25
Mixture36,barcode84,V4.1,Mixture36,2023-06-26,2023-04-25
Mixture37,barcode85,V4.1,Mixture37,2023-06-26,2023-04-25
Mixture38,barcode86,V4.1,Mixture38,2023-06-26,2023-04-25
Mixture39,barcode87,V4.1,Mixture39,2023-06-26,2023-04-25
Mixture40,barcode88,V4.1,Mixture40,2023-06-26,2023-04-25
Mixture41,barcode89,V4.1,Mixture41,2023-06-26,2023-04-25
Mixture42,barcode90,V4.1,Mixture42,2023-06-26,2023-04-13
