	summarized	lineages	abundances	resid	coverage
Mixture01	[('Other', 0.9032), ('Delta', 0.0968)]	AY.3 AY.1 AY.3.1 Other	0.0333 0.0323 0.0312 0.9032		
Mixture02	[('Other', 1.0)]	Other	1.0		
Mixture03	[('Other', 0.5927), ('Gamma', 0.2216), ('Delta', 0.0968), ('Alpha', 0.0889)]	B.1.1.7 P.1 P.1.2 P.1.1 AY.3 AY.1 AY.3.1 Other	0.0889 0.087 0.087 0.0476 0.0333 0.0323 0.0312 0.5927		
Mixture04	[('Other', 0.9032), ('Delta', 0.0968)]	AY.3 AY.1 AY.3.1 Other	0.0333 0.0323 0.0312 0.9032		
Mixture05	[('Other', 1.0)]	Other	1.0		
Mixture06	[('Other', 0.9111), ('Alpha', 0.0889)]	B.1.1.7 Other	0.0889 0.9111		
Mixture07	[('Other', 1.0)]	Other	1.0		
Mixture08	[('Other', 0.8241), ('Alpha', 0.0889), ('Gamma', 0.087)]	B.1.1.7 P.1.2 P.1 Other	0.0889 0.0435 0.0435 0.8241		
Mixture09	[('Other', 1.0)]	Other	1.0		
Mixture10	[('Other', 0.5532), ('Delta', 0.1635), ('Beta', 0.1487), ('Gamma', 0.1346)]	AY.1 B.1.351 P.1.1 B.1.351.2 B.1.351.3 P.1 P.1.2 AY.2 AY.3 AY.3.1 Other	0.0645 0.0556 0.0476 0.0476 0.0455 0.0435 0.0435 0.0345 0.0333 0.0312 0.5532		
Mixture11	[('Other', 0.8654), ('Gamma', 0.1346)]	P.1.1 P.1 P.1.2 Other	0.0476 0.0435 0.0435 0.8654		
Mixture12	[('Other', 0.7686), ('Gamma', 0.1346), ('Delta', 0.0968)]	P.1.1 P.1 P.1.2 AY.3 AY.1 AY.3.1 Other	0.0476 0.0435 0.0435 0.0333 0.0323 0.0312 0.7686		
Mixture13	[('Other', 0.6452), ('Delta', 0.1789), ('Alpha', 0.0889), ('Gamma', 0.087)]	B.1.1.7 B.1.617.2 P.1 P.1.2 AY.2 AY.3 AY.1 AY.3.1 Other	0.0889 0.0476 0.0435 0.0435 0.0345 0.0333 0.0323 0.0312 0.6452		
Mixture14	[('Other', 1.0)]	Other	1.0		
Mixture15	[('Other', 0.7332), ('Alpha', 0.2668)]	B.1.1.7 Other	0.2668 0.7332		
Mixture16	[('Gamma', 0.5383), ('Other', 0.4617)]	P.1.1 P.1 P.1.2 Other	0.1905 0.1739 0.1739 0.4617		
Mixture17	[('Other', 1)]	Other	1		
Mixture18	[('Other', 0.9655), ('Delta', 0.0345)]	AY.2 Other	0.0345 0.9655		
Mixture19	[('Other', 0.7686), ('Gamma', 0.1346), ('Delta', 0.0968)]	P.1.1 P.1 P.1.2 AY.3 AY.1 AY.3.1 Other	0.0476 0.0435 0.0435 0.0333 0.0323 0.0312 0.7686		
Mixture20	[('Other', 0.6878), ('Delta', 0.1635), ('Beta', 0.1487)]	AY.1 B.1.351 B.1.351.2 B.1.351.3 AY.2 AY.3 AY.3.1 Other	0.0645 0.0556 0.0476 0.0455 0.0345 0.0333 0.0312 0.6878		
Mixture21	[('Other', 1.0)]	Other	1.0		
Mixture22	[('Other', 1.0)]	Other	1.0		
Mixture23	[('Other', 0.5119), ('Delta', 0.1635), ('Beta', 0.1487), ('Alpha', 0.0889), ('Gamma', 0.087)]	B.1.1.7 AY.1 B.1.351 B.1.351.2 B.1.351.3 P.1 P.1.2 AY.2 AY.3 AY.3.1 Other	0.0889 0.0645 0.0556 0.0476 0.0455 0.0435 0.0435 0.0345 0.0333 0.0312 0.5119		
Mixture24	[('Other', 0.8654), ('Gamma', 0.1346)]	P.1.1 P.1 P.1.2 Other	0.0476 0.0435 0.0435 0.8654		
Mixture25	[('Other', 1.0)]	Other	1.0		
Mixture26	[('Other', 0.7846), ('Beta', 0.1487), ('Delta', 0.0668)]	B.1.351 B.1.351.2 B.1.351.3 AY.2 AY.1 Other	0.0556 0.0476 0.0455 0.0345 0.0323 0.7846		
Mixture27	[('Other', 1.0)]	Other	1.0		
Mixture28	[('Other', 0.8654), ('Gamma', 0.1346)]	P.1.1 P.1 P.1.2 Other	0.0476 0.0435 0.0435 0.8654		
Mixture29	[('Other', 1.0)]	Other	1.0		
Mixture30	[('Other', 0.5532), ('Delta', 0.1635), ('Beta', 0.1487), ('Gamma', 0.1346)]	AY.1 B.1.351 B.1.351.2 P.1.1 B.1.351.3 P.1.2 P.1 AY.2 AY.3 AY.3.1 Other	0.0645 0.0556 0.0476 0.0476 0.0455 0.0435 0.0435 0.0345 0.0333 0.0312 0.5532		
Mixture31	[('Other', 1.0)]	Other	1.0		
Mixture32	[('Other', 1.0)]	Other	1.0		
Mixture33	[('Other', 1.0)]	Other	1.0		
Mixture34	[('Other', 0.9111), ('Alpha', 0.0889)]	B.1.1.7 Other	0.0889 0.9111		
Mixture35	[('Other', 1.0)]	Other	1.0		
Mixture36	[('Other', 1.0)]	Other	1.0		
Mixture37	[('Other', 0.8211), ('Delta', 0.1789)]	B.1.617.2 AY.2 AY.3 AY.1 AY.3.1 Other	0.0476 0.0345 0.0333 0.0323 0.0312 0.8211		
Mixture38	[('Other', 0.7686), ('Gamma', 0.1346), ('Delta', 0.0968)]	P.1.1 P.1 P.1.2 AY.3 AY.1 AY.3.1 Other	0.0476 0.0435 0.0435 0.0333 0.0323 0.0312 0.7686		
Mixture39	[('Other', 0.8241), ('Alpha', 0.0889), ('Gamma', 0.087)]	B.1.1.7 P.1.2 P.1 Other	0.0889 0.0435 0.0435 0.8241		
Mixture40	[('Other', 0.7273), ('Delta', 0.0968), ('Alpha', 0.0889), ('Gamma', 0.087)]	B.1.1.7 P.1 P.1.2 AY.3 AY.1 AY.3.1 Other	0.0889 0.0435 0.0435 0.0333 0.0323 0.0312 0.7273		
Mixture41	[('Other', 0.5119), ('Delta', 0.1635), ('Beta', 0.1487), ('Alpha', 0.0889), ('Gamma', 0.087)]	B.1.1.7 AY.1 B.1.351 B.1.351.2 B.1.351.3 P.1 P.1.2 AY.2 AY.3 AY.3.1 Other	0.0889 0.0645 0.0556 0.0476 0.0455 0.0435 0.0435 0.0345 0.0333 0.0312 0.5119		
Mixture42	[('Other', 0.7686), ('Gamma', 0.1346), ('Delta', 0.0968)]	P.1.1 P.1 P.1.2 AY.3 AY.1 AY.3.1 Other	0.0476 0.0435 0.0435 0.0333 0.0323 0.0312 0.7686		
NFWA	[('Other', 1)]	Other	1		
NFWC	[('Other', 1.0)]	Other	1.0		
