	summarized	lineages	abundances	resid	coverage
Mixture01	[('Omicron', 0.4888), ('Other', 0.3526), ('Alpha', 0.0556), ('Delta', 0.0306), ('Beta', 0.019), ('Gamma', 0.0182), ('Iota', 0.0145), ('Mu', 0.0093), ('Kappa', 0.0051), ('A', 0.0022), ('Eta', 0.0017), ('Lambda', 0.0016), ('Theta', 0.0007)]	B.1.1 BA.4 BA.3 BA.2.12.1 B.1.1.7 BA.2 BA.1 B.1.617.2 B.1.351 P.1 B.1.526 B.1.621 B.1.623 B.1.617.3 B.1.617.1 AV.1 B.1.1.318 BA.5 A.23.1 B.1.525 C.37 B.1.177 P.3 Other	0.2207 0.2026 0.1419 0.0677 0.0556 0.0412 0.0329 0.0306 0.019 0.0182 0.0145 0.0093 0.0072 0.0063 0.0051 0.0036 0.0029 0.0025 0.0022 0.0017 0.0016 0.0016 0.0007 0.1103		
Mixture02	[('Other', 0.40190000000000003), ('Alpha', 0.195), ('Iota', 0.1711), ('Delta', 0.1078), ('Omicron', 0.0545), ('Gamma', 0.0299), ('Beta', 0.0213), ('A', 0.0104), ('Mu', 0.0031), ('Kappa', 0.0015), ('Zeta', 0.0014), ('Eta', 0.0013), ('Lambda', 0.0007)]	B.1.1.7 B.1.526 B.1.1 B.1.617.2 BA.1 P.1 B.1.351 A.23.1 B.1.1.318 B.1.617.3 B.1.621 B.1.623 429 AV.1 BA.2.12.1 B.1.617.1 B.1.177 P.2 B.1.525 BA.5 C.37 Other	0.195 0.1711 0.1119 0.1078 0.0518 0.0299 0.0213 0.0104 0.0057 0.0048 0.0031 0.0028 0.0023 0.0019 0.0017 0.0015 0.0014 0.0014 0.0013 0.001 0.0007 0.2711		
Mixture03	[('Omicron', 0.9858), ('Delta', 0.0044), ('Beta', 0.0031), ('Other', 0.0027), ('Lambda', 0.0013), ('A', 0.0011), ('Theta', 0.0005), ('Mu', 0.0005), ('Eta', 0.0004), ('Alpha', 0.0001)]	BA.4 BA.2.12.1 BA.5 BA.2 BA.1 B.1.617.2 B.1.351 BA.3 C.37 A.23.1 B.1.617.3 B.1.623 B.1.1.318 P.3 B.1.621 B.1.525 429 AV.1 B.1.1.7 Other	0.5199 0.2081 0.1584 0.0828 0.0137 0.0044 0.0031 0.0029 0.0013 0.0011 0.0008 0.0007 0.0005 0.0005 0.0005 0.0004 0.0004 0.0003 0.0001 -0.0		
Mixture04	[('Omicron', 0.4163), ('Other', 0.33249999999999996), ('Gamma', 0.1103), ('Beta', 0.0563), ('Alpha', 0.0435), ('Iota', 0.0303), ('Delta', 0.0023), ('Kappa', 0.0022), ('Eta', 0.0022), ('A', 0.0019), ('Lambda', 0.0012), ('Theta', 0.0007), ('Mu', 0.0004)]	B.1.1 BA.2 BA.1 P.1 BA.3 B.1.351 B.1.1.7 B.1.526 B.1.617.2 B.1.617.1 B.1.525 A.23.1 BA.5 AV.1 C.37 P.3 B.1.623 B.1.621 Other	0.2113 0.181 0.1514 0.1103 0.0823 0.0563 0.0435 0.0303 0.0023 0.0022 0.0022 0.0019 0.0016 0.0015 0.0012 0.0007 0.0006 0.0004 0.1191		
Mixture05	[('Other', 0.5523), ('Omicron', 0.424), ('Beta', 0.0131), ('Alpha', 0.0032), ('Delta', 0.0019), ('Eta', 0.0013), ('Mu', 0.0011), ('Theta', 0.0011), ('Kappa', 0.0009), ('Lambda', 0.0005), ('Iota', 0.0004), ('Gamma', 0.0004)]	BA.4 BA.2.12.1 B.1 B.1.1 BA.1 BA.5 B.1.351 BA.3 B.1.1.7 B.1.623 AV.1 B.1.617.2 B.1.177 B.1.1.318 B.1.525 B.1.621 P.3 429 B.1.617.1 C.37 B.1.526 B.1.617.3 P.1 Other	0.3122 0.0639 0.0483 0.0426 0.0225 0.0219 0.0131 0.0035 0.0032 0.0031 0.003 0.0019 0.0016 0.0015 0.0013 0.0011 0.0011 0.001 0.0009 0.0005 0.0004 0.0004 0.0004 0.4508		
Mixture06	[('Omicron', 0.49410000000000004), ('Other', 0.2527), ('Iota', 0.0792), ('Delta', 0.067), ('Alpha', 0.0558), ('Gamma', 0.0199), ('Beta', 0.0193), ('Lambda', 0.0035), ('Mu', 0.0022), ('Zeta', 0.0018), ('A', 0.0017), ('Eta', 0.0012), ('Theta', 0.0007), ('Kappa', 0.0006)]	B.1.1 BA.1 BA.2.12.1 BA.2 BA.3 B.1.526 B.1.617.2 B.1.617.3 B.1.1.7 P.1 B.1.351 B.1.1.318 C.37 B.1.621 P.2 A.23.1 B.1.525 B.1.623 AV.1 P.3 B.1.617.1 Other	0.1779 0.1516 0.1495 0.1018 0.0912 0.0792 0.067 0.0653 0.0558 0.0199 0.0193 0.0075 0.0035 0.0022 0.0018 0.0017 0.0012 0.0011 0.0009 0.0007 0.0006 0.0		
Mixture07	[('Omicron', 0.3546), ('Other', 0.24169999999999997), ('Alpha', 0.1362), ('Iota', 0.1292), ('Gamma', 0.054), ('Beta', 0.0514), ('Zeta', 0.0183), ('Eta', 0.0048), ('Mu', 0.0042), ('Delta', 0.002), ('Theta', 0.002), ('A', 0.001), ('Kappa', 0.0008)]	BA.4 B.1.1 B.1.1.7 B.1.526 P.1 BA.2.12.1 B.1.351 BA.3 B.1.177 P.2 BA.1 B.1.1.318 B.1.525 B.1.621 B.1.623 B.1.617.2 P.3 A.23.1 B.1.617.1 429 AV.1 Other	0.2659 0.2055 0.1362 0.1292 0.054 0.0539 0.0514 0.019 0.0185 0.0183 0.0158 0.0134 0.0048 0.0042 0.003 0.002 0.002 0.001 0.0008 0.0007 0.0006 0.0		
Mixture08	[('Omicron', 0.949), ('Other', 0.033499999999999995), ('Delta', 0.006), ('Beta', 0.003), ('Lambda', 0.0016), ('Theta', 0.0016), ('Kappa', 0.0009), ('Eta', 0.0009), ('Iota', 0.0009), ('Gamma', 0.0008), ('Alpha', 0.0008), ('Mu', 0.0006), ('A', 0.0002)]	BA.4 BA.2 BA.1 BA.5 BA.2.12.1 BA.3 B.1.1 B.1.617.2 B.1.623 B.1.351 AV.1 C.37 P.3 B.1.617.1 B.1.177 B.1.525 B.1.526 P.1 B.1.1.7 B.1.1.318 B.1.621 B.1.617.3 A.23.1 Other	0.3267 0.2061 0.1565 0.1142 0.0802 0.0653 0.026 0.006 0.0038 0.003 0.0016 0.0016 0.0016 0.0009 0.0009 0.0009 0.0009 0.0008 0.0008 0.0007 0.0006 0.0005 0.0002 -0.0		
Mixture09	[('Other', 0.9725), ('Omicron', 0.009199999999999998), ('Delta', 0.0075), ('Beta', 0.0037), ('Zeta', 0.0025), ('Eta', 0.0014), ('Mu', 0.0012), ('Lambda', 0.0007), ('Alpha', 0.0005), ('Theta', 0.0004), ('Kappa', 0.0002), ('Gamma', 0.0002)]	BA.1 B.1.617.2 B.1.351 P.2 B.1.617.3 B.1.525 B.1.623 B.1.621 AV.1 C.37 BA.2.12.1 B.1.1.7 P.3 B.1.1.318 B.1.617.1 P.1 BA.4 Other	0.0084 0.0075 0.0037 0.0025 0.0014 0.0014 0.0013 0.0012 0.001 0.0007 0.0007 0.0005 0.0004 0.0004 0.0002 0.0002 0.0001 0.9684		
Mixture10	[('Omicron', 0.9562999999999999), ('Other', 0.031400000000000004), ('Beta', 0.0051), ('Mu', 0.0023), ('Alpha', 0.0014), ('Kappa', 0.001), ('Theta', 0.0009), ('A', 0.0008), ('Lambda', 0.0004), ('Eta', 0.0003), ('Delta', 0.0002)]	BA.2 BA.1 BA.3 B.1.1 B.1.351 B.1.1.318 B.1.621 AV.1 B.1.1.7 B.1.617.1 P.3 A.23.1 B.1.623 B.1.177 C.37 B.1.525 B.1.617.3 B.1.617.2 Other	0.6703 0.2496 0.0364 0.0185 0.0051 0.0044 0.0023 0.0022 0.0014 0.001 0.0009 0.0008 0.0007 0.0005 0.0004 0.0003 0.0003 0.0002 0.0048		
Mixture11	[('Omicron', 0.9642), ('Beta', 0.0123), ('Other', 0.0085), ('Delta', 0.0042), ('Alpha', 0.0028), ('Zeta', 0.0026), ('Mu', 0.0011), ('Gamma', 0.001), ('A', 0.0009), ('Eta', 0.0008), ('Theta', 0.0006), ('Kappa', 0.0005), ('Iota', 0.0004)]	BA.2.12.1 BA.4 BA.3 B.1.351 BA.1 B.1.617.2 B.1.1 B.1.1.7 P.2 AV.1 B.1.621 B.1.623 P.1 A.23.1 B.1.1.318 B.1.525 P.3 B.1.617.1 B.1.526 B.1.617.3 Other	0.835 0.088 0.0348 0.0123 0.0064 0.0042 0.0031 0.0028 0.0026 0.0021 0.0011 0.001 0.001 0.0009 0.0008 0.0008 0.0006 0.0005 0.0004 0.0003 0.0012		
Mixture12	[('Omicron', 0.9785), ('Other', 0.0106), ('Delta', 0.0041), ('Lambda', 0.002), ('Alpha', 0.0012), ('Mu', 0.001), ('Eta', 0.0006), ('Kappa', 0.0006), ('A', 0.0005), ('Beta', 0.0003), ('Theta', 0.0002), ('Zeta', 0.0002), ('Gamma', 0.0001)]	BA.5 BA.1 B.1.177 B.1.617.2 BA.3 B.1.623 C.37 B.1.1.318 B.1.1.7 B.1.621 B.1.525 B.1.617.1 BA.2.12.1 A.23.1 B.1.617.3 AV.1 B.1.351 P.3 P.2 429 P.1 Other	0.9646 0.0102 0.006 0.0041 0.0031 0.0022 0.002 0.0015 0.0012 0.001 0.0006 0.0006 0.0006 0.0005 0.0004 0.0003 0.0003 0.0002 0.0002 0.0002 0.0001 -0.0		
